	pearson	kendall	spearman	QWK
debate	0.16313817214680668	0.09083473503436588	0.10813616907381894	0.07949705941999607
baseline	0.21083214513828297	0.1408037022796121	0.16661329823851287	0.0002459927976805609
rubric	0.2597143349862642	0.17767727209171208	0.21296853560798096	0.00031650978281738684
bleu1	0.6934436662819499	0.6039608926284922	0.745304706592825	0.07126555772533671
bleu2	0.6621693668615616	0.5493861131741103	0.678509876511354	0.015176095033753834
bleu4	0.26985242820224714	0.3274486767262909	0.4193230999559019	0.0
rouge1	0.48216122423382146	0.389300093441257	0.5027690628924406	0.03631486950756413
rouge2	0.23460745543647502	0.22739491439325757	0.29015788366587764	0.0003345447909853805
rougeL	0.2548299002619459	0.25650146343559455	0.3359247116846634	0.0008983399960218463
distinct1	-0.2174844594045645	-0.1065462422776691	-0.1387371408829746	-0.01806192019671382
distinct2	-0.06168713693742908	-0.11824535548449393	-0.1427239959005793	-0.02724414949353804
distinct4	0.002256609567304452	-0.027395032708159028	-0.03709620339161467	-0.005617977528090234
bert	-0.0929045692929324	-0.06003225739982001	-0.07835547374941802	-0.09050223769269028
