essay_id	distinct_1	distinct_2	distinct_4
24	0.395	0.835	0.991
200	0.388	0.749	0.908
222	0.437	0.853	0.989
411	0.456	0.828	0.954
657	0.339	0.706	0.956
880	0.417	0.811	0.943
999	0.425	0.858	0.99
1042	0.414	0.878	0.985
1148	0.423	0.856	0.989
1167	0.427	0.853	0.994
1187	0.463	0.908	0.998
1216	0.496	0.894	0.984
1376	0.504	0.897	0.996
1402	0.498	0.917	1.0
1708	0.542	0.951	0.996
1725	0.391	0.792	0.947
1726	0.458	0.895	0.994
3293	0.494	0.925	0.987
3615	0.447	0.892	1.0
3745	0.437	0.772	0.962
3848	0.464	0.91	1.0
3959	0.29	0.75	0.967
3965	0.386	0.831	0.985
3983	0.369	0.799	0.974
4004	0.659	0.984	1.0
4197	0.356	0.839	0.992
4455	0.449	0.894	0.99
4513	0.378	0.85	0.988
4581	0.376	0.818	0.984
4766	0.359	0.828	0.989
18100	0.469	0.882	1.0
18291	0.549	0.906	0.995
18386	0.508	0.881	1.0
18492	0.638	0.933	1.0
18533	0.679	0.904	1.0
18649	0.385	0.816	0.974
18666	0.483	0.845	0.945
18704	0.493	0.823	0.966
19070	0.629	0.912	1.0
19177	0.601	0.901	0.986
19273	0.53	0.905	0.992
19327	0.564	0.896	0.992
19349	0.825	0.974	1.0
19414	0.473	0.853	0.991
20800	0.333	0.751	0.984
20959	0.375	0.845	0.982
20971	0.396	0.798	0.978
20983	0.423	0.844	0.98
21198	0.35	0.797	0.983
21205	0.565	0.933	1.0
